iata,icao,faa,latitude,longitude
ADK,PADK,,51.8835827780001,-176.642482222
AKK,PAKH,,56.9386908330001,-154.182555556
,PFZK,Z13,60.9138097220001,-161.493329167
KKI,,,60.9078647220001,-161.435077222
AKI,PFAK,,60.902897222,-161.230583333
KQA,,,54.1339,-165.778383333
,PAUT,7AK,54.1446111110001,-165.604108333
AUK,PAUK,,62.6830555560001,-164.722194444
,,Z25,59.2631458330001,-158.557755278
,,Z33,59.273978056,-158.623589167
,,5A8,59.282555556,-158.617866667
,,4AK7,59.280923333,-158.597200278
,PFAL,6A8,66.551833333,-152.622166667
AFM,PAFM,,67.106200556,-157.857155833
,,80A,65.1039819440001,-151.177233333
,,AK81,57.471493611,-153.815360556
AKP,PAKP,,68.1336111110001,-151.743333333
CSR,,,61.1587000000001,-149.780611111
,,AK38,61.189030556,-149.821830556
,,AA06,61.2897222220001,-149.806111111
,,AA04,61.2247750000001,-149.839094444
,,2OK,61.2127027780001,-149.826583333
,,AK36,61.4360194440001,-150.122361111
,,AK82,61.1561305560001,-149.7923
,,64AK,61.4399111110001,-150.0261
,,AK12,61.1066000000001,-149.864269444
,,A13,61.341338889,-148.998880556
,,AK37,61.2494513890001,-150.035560556
ANC,PANC,,61.174084722,-149.9981375
MRI,PAMR,,61.213546389,-149.844709444
,,A11,61.1330611110001,-149.9419
EDF,PAED,,61.251353194,-149.806525667
,,AK91,61.2353833330001,-149.749275
,,6AK5,61.168337222,-150.160553611
,,9AK5,61.1164805560001,-149.818769444
FRN,PAFR,,61.2659,-149.653307778
,,2AK0,61.2558805560001,-149.974655556
,,0AK9,61.3325500000001,-150.059052778
,,AK00,59.7830555560001,-151.853055556
,,00AK,59.948888889,-151.692222222
AGN,PAGN,,57.5035552780001,-134.585093889
ANI,PANI,,61.581405278,-159.545298056
ANN,PANT,,55.0422935830001,-131.570899361
,,Z43,55.067992222,-131.556954722
ANV,PANV,,62.6473333330001,-160.190055556
,,K40,62.656223889,-160.205448611
ARC,PARC,,68.1146694440001,-145.579415278
AKA,PAAK,,52.220583333,-174.206194444
,,4A2,60.867888889,-162.274277778
ATK,PATQ,,70.4671111110001,-157.435666667
ATU,PAAT,,52.832541667,173.175554167
BNF,,,57.088825833,-134.833141389
BRW,PABR,,71.2848611110001,-156.768583333
BTI,PABA,,70.1131111110001,-143.653611111
BQV,,,58.455207778,-135.88517
,,Z47,64.679090278,-165.299201389
,,AK02,65.5398866670001,-161.062377778
,,Z48,63.5716091670001,-156.144050556
,,Z52,56.0366855560001,-160.266205278
WBQ,PAWB,,66.3622222220001,-147.4065
KBE,,,55.929078056,-131.571690556
BLG,PABG,,61.1729618890001,-151.045416306
,,Z58,60.8044861110001,-161.720694444
,,Z59,60.782025278,-161.743128889
BET,PABE,,60.7785555560001,-161.837166667
BTT,PABT,,66.913944444,-151.529055556
,,85AK,61.509166667,-149.908611111
,,02AA,61.506666667,-149.911944444
,,AA01,61.584961111,-149.846530556
,,AA02,61.5724842500001,-149.923556111
,,86AK,61.5471416940001,-149.945976806
,,91AK,61.576388889,-149.943333333
,,20AK,61.5037888890001,-149.896044444
,,AK86,61.5735388890001,-149.91135
,,08AK,61.569638889,-149.724438889
,,09AK,61.5893611110001,-149.847333333
BGQ,PAGQ,,61.5346830560001,-149.812548333
,,AK87,61.5148611110001,-149.929011111
,,AK95,61.570366667,-149.779038889
,,9AK7,61.5901805560001,-149.815429167
,,63AK,61.5843305560001,-149.9381
,,D71,61.5751388890001,-149.847666667
,,68AK,61.5165805560001,-149.931080556
,,L95,61.5547722220001,-149.939336111
,,AA07,61.521575,-149.927138889
,,95AK,61.472619444,-149.982469444
,,6A7,61.4818388890001,-149.773244444
,PABM,37AK,59.361246667,-155.258821389
,,Z91,66.274472222,-145.818194444
BCV,PABV,,61.4160875000001,-149.508309778
,,5BK,63.535146389,-145.860886111
,,AK97,60.4230641670001,-146.145909444
BYA,,,64.0783027780001,-141.113375
KTS,PFKT,,65.331333333,-166.465722222
,,AK98,65.6386719440001,-167.485806944
BVK,PABL,,65.981555556,-161.149138889
,,AK75,65.9076580560001,-161.926305833
TTW,PATW,,63.3912047220001,-148.955616389
,,15AK,63.3706500000001,-148.850336111
CDE,,,56.002113056,-134.135339167
LUR,PALU,,68.875127778,-166.111081944
EHM,PAEH,,58.64815,-162.063802778
,,Z71,55.9662900000001,-133.796721111
CZF,PACZ,,61.7810143610001,-166.039575417
,PACS,26AK,54.5824311110001,-164.914480833
CSP,PACA,,58.1992388890001,-136.639930556
CEM,PACE,,65.5739444440001,-144.780888889
CIK,PACI,,66.645027778,-143.739888889
,,5CD,68.065439444,-149.579739167
WCR,PALR,,67.5045166670001,-148.483222222
,,05AA,57.514938333,-134.946215
CFK,PACK,,60.1368055560001,-164.279055556
,,AK13,65.051825556,-146.047431944
,PFCB,C05,60.0785611110001,-147.994734722
VAK,PAVA,,61.5408333330001,-165.600888889
,,48AK,61.793088889,-148.492496111
CKX,,,64.066751389,-141.951347222
,,Z78,56.295610556,-158.401479722
KCL,,,56.3109666670001,-158.534486111
AJC,PAJC,,56.3114626390001,-158.373238194
,,A79,56.2554569440001,-158.777831944
CZN,,,62.0717500000001,-142.04935
CZO,,,62.5623333330001,-144.672444444
CXC,,,61.583202778,-144.429802778
,PACH,9A3,61.5790555560001,-159.215638889
,,AK24,61.417861111,-149.439488889
CRC,PACR,,65.8279166670001,-144.076197222
CHP,,,65.4859069440001,-144.611684722
,,96AK,60.2871513060001,-151.347571278
CLP,PFCL,,58.8336944440001,-158.529388889
,PACL,Z84,64.300388889,-149.116527778
KCC,PAKC,,56.0148038890001,-132.8339225
CDB,PACD,,55.2059166670001,-162.72625
,,Z87,55.2516272220001,-162.753404444
,PAAL,1AK3,56.0059858330001,-160.560791944
CXF,PACX,,67.252170833,-150.203908056
KCR,,,63.567723056,-155.989043611
JLA,,,60.484263889,-149.7229
,,Z93,61.9411900000001,-145.294080833
CDV,PACV,,60.4916397220001,-145.477557778
,,AK30,60.391152778,-146.097463889
CKU,,,60.5436444440001,-145.725854167
,,K29,64.896747222,-163.703498611
CGA,,,55.478831389,-133.147801111
,,5C5,55.9585888890001,-133.253372222
,,1AK0,55.4752202780001,-133.145856389
,,1AK1,67.3728722220001,-152.016077778
CJX,PACJ,,61.8711180560001,-158.137956389
,PFCR,01AA,62.0324227780001,-158.236231667
,,1AK2,62.4009419440001,-146.013304722
DCK,PODC,,66.942561417,-156.891368639
SCC,PASC,,70.1947541110001,-148.465164861
,PALP,AK15,70.344277778,-150.94475
,PABP,AK78,70.1374666670001,-147.030438889
,,AA03,70.171284611,-146.258569639
,PAAD,37AA,70.1360000000001,-146.290027778
,,4AK1,70.003830694,-153.077568194
DEE,PADE,,66.069111111,-162.767055556
BIG,PABI,,63.995162694,-145.720055361
,,11AK,63.999605833,-145.502317778
,,D66,64.0501166670001,-145.722465278
,,AA22,64.128147444,-145.808427
,,29AK,64.0467125000001,-145.435845833
,,45AK,63.9618288890001,-145.470091944
,,AK09,64.049606667,-145.502324167
,,9AK4,64.1373611110001,-145.830388889
,,AK35,64.0388625000001,-145.738947222
,,72AK,64.027108889,-145.680174444
,,AK77,63.941427778,-145.422225
,,76AK,64.467463889,-144.920891667
DLG,PADL,,59.0446666670001,-158.5055
,,AK21,59.1325833330001,-157.777180556
,,AA15,59.0589755560001,-158.57719
,PPDM,DM2,65.7586111110001,-168.953055556
,PAAM,AK23,53.9719805560001,-166.857405556
EAA,PAEG,,64.778083333,-141.149611111
,,47AK,61.2925000000001,-149.5325
,,D72,61.3525194440001,-149.54635
EEK,PAEE,,60.2136944440001,-162.043888889
EII,PAII,,58.185490278,-157.375427778
KKU,,,58.8111925000001,-158.5588425
KEK,,,59.3568388890001,-157.471139444
ERO,,,58.9716805560001,-135.222025
ELV,PAEL,,58.195184167,-136.347392778
ELI,PFEL,,64.6149722220001,-162.270527778
MOS,,,64.6981819440001,-162.057299167
,,1Z9,60.893907778,-146.703691944
ENM,PAEM,,62.786138889,-164.49075
,,2Z2,65.1759113890001,-150.220538611
,,2Z3,64.0421111110001,-148.863138889
EXI,,,58.420498611,-135.449032778
,,2Z5,64.8328994440001,-147.848258333
,,AK28,64.8140277780001,-147.918555556
,,AK22,64.821666667,-147.521666667
,,32AK,64.909286111,-147.913961111
,,25AA,64.928658333,-147.880572222
MTF,,,64.80679,-147.762421111
,,31AK,64.832907778,-147.424643333
,,AK52,64.888888889,-147.535594444
FBK,PAFB,,64.8376122220001,-147.614491944
,,2AK1,64.3634888890001,-147.365041667
,,2AK2,64.453458611,-147.563491944
,PAAN,AK7,64.198055556,-147.928611111
EIL,PAEI,,64.665639722,-147.101430278
,,83AK,65.2565000000001,-148.830255556
FAI,PAFA,,64.815355556,-147.856666667
,,2Z6,57.5321544440001,-135.213451111
KFP,PAKF,,54.847861111,-163.407111111
