iata,icao,faa,latitude,longitude,,
AIV,KAIV,,33.1065,-88.1978,,
ALX,KALX,,32.9147,-85.963,,
ANB,KANB,,33.5882,-85.8581,,
ASN,KASN,,33.5699,-86.0509,,
AUO,KAUO,,32.6151,-85.434,,
BFM,KBFM,,30.6268,-88.0681,,
BHM,KBHM,,33.5629,-86.7535,,
DCU,KDCU,,34.6527,-86.9454,,
DHN,KDHN,,31.3213,-85.4496,,
ETS,KEDN,,31.2997,-85.8999,,
EUF,KEUF,,31.9513,-85.1289,,
GAD,KGAD,,33.9726,-86.089,,
GUF,KJKA,,30.2905,-87.6718,,
HAB,KHAB,,34.1176,-87.9982,,
HSV,KHSV,,34.6372,-86.7751,,
HUA,KHUA,,34.6787,-86.6848,,
MGM,KMGM,,32.3006,-86.394,,
MOB,KMOB,,30.6912,-88.2428,,
MSL,KMSL,,34.7453,-87.6102,,
MVC,KMVC,,31.458,-87.351,,
MXF,KMXF,,32.3829,-86.3658,,
NHX,KNBJ,,30.3891,-87.6353,,
OZR,KOZR,,31.2757,-85.7134,,
PLR,KPLR,,33.5588,-86.2491,,
SEM,KSEM,,32.3439,-86.9878,,
TCL,KTCL,,33.2206,-87.6114,,
TGE,,,32.4919,-85.7756,,
TOI,KTOI,,31.8604,-86.0121,,
ABL,PAFM,,67.1063,-157.857,,
ADK,PADK,,51.878,-176.646,,
ADQ,PADQ,,57.75,-152.494,,
ADR,KPHH,,33.4517,-79.5262,,
AET,PFAL,,66.5518,-152.622,,
AGN,PAGN,,57.5036,-134.585,,
AIN,PAWI,,70.638,-159.995,,
AKB,PAAK,,52.2203,-174.206,,
AKI,PFAK,,60.9029,-161.231,,
AKK,PAKH,,56.9387,-154.183,,
AKN,PAKN,,58.6768,-156.649,,
AKP,PAKP,,68.1336,-151.743,,
ALZ,,,56.8995,-154.248,,
ANC,PANC,,61.1744,-149.996,,
ANI,PANI,,61.5816,-159.543,,
ANN,PANT,,55.0424,-131.572,,
ANV,PANV,,62.6467,-160.191,,
AOS,,,57.4715,-153.815,,
AQY,,,60.9661,-149.126,,
ARC,PARC,,68.1147,-145.579,,
ATK,PATQ,,70.4673,-157.436,,
ATT,,,60.8667,-162.273,,
ATU,PAAT,,52.8284,173.18,,
AUK,,,62.68,-164.66,,
BCC,,,63.5733,-156.149,,
BET,PABE,,60.7798,-161.838,,
BGQ,PAGQ,,61.5361,-149.814,,
BIG,PABI,,63.9945,-145.722,,
BKC,PABL,,65.9816,-161.149,,
BKF,,,58.5548,-155.777,,
BMX,PABM,,59.3612,-155.259,,
BNF,,,57.0888,-134.833,,
BQV,,,58.4552,-135.885,,
BRW,PABR,,71.2854,-156.766,,
BSW,,,60.4231,-146.146,,
BTI,PABA,,70.134,-143.582,,
BTT,PABT,,66.9139,-151.529,,
BVU,PABG,,61.1722,-151.044,,
BYA,,,64.0783,-141.113,,
CDB,PACD,,55.2061,-162.725,,
CDL,,,65.9077,-161.926,,
CDV,PACV,,60.4918,-145.478,,
CEM,PACE,,65.5738,-144.783,,
CEX,,,65.0518,-146.047,,
CGA,,,55.4788,-133.148,,
CHP,,,65.4855,-144.611,,
CHU,,,61.5791,-159.216,,
CIK,PACI,,66.645,-143.74,,
CIL,,,64.8979,-163.703,,
CKD,,,61.8679,-158.135,,
CKU,,,60.5439,-145.727,,
CKX,,,64.0713,-141.952,,
CLP,PFCL,,58.8337,-158.529,,
CXC,,,61.5829,-144.427,,
CXF,PACX,,67.2522,-150.204,,
CYF,PACK,,60.1492,-164.286,,
CYM,,,57.5149,-134.946,,
CYT,PACY,,60.081,-142.495,,
CZC,,,61.9412,-145.294,,
CZF,PACZ,,61.7803,-166.039,,
CZN,,,62.0712,-142.048,,
CZO,,,62.5635,-144.669,,
CZP,,,55.9663,-133.797,,
DCK,,,66.9433,-156.905,,
DJN,,,64.0504,-145.717,,
DLG,PADL,,59.0447,-158.505,,
DRF,,,60.5889,-152.162,,
DRG,PADE,,66.0696,-162.766,,
DUT,PADU,,53.9001,-166.544,,
EAA,PAEG,,64.7764,-141.151,,
EDA,,,55.9497,-133.661,,
EDF,PAED,,61.251,-149.807,,
EEK,PAEE,,60.2137,-162.044,,
EGX,PAII,,58.1855,-157.375,,
EHM,PAEH,,58.6464,-162.063,,
EIL,PAEI,,64.6657,-147.102,,
ELI,PFEL,,64.6147,-162.272,,
ELV,PAEL,,58.1952,-136.347,,
ELW,,,60.8938,-146.704,,
EMK,PAEM,,62.7861,-164.491,,
ENA,PAEN,,60.5731,-151.245,,
ENN,PANN,,64.5473,-149.074,,
EXI,,,58.4205,-135.449,,
FAI,PAFA,,64.8151,-147.856,,
FAK,,,57.5322,-135.213,,
FBK,PAFB,,64.8375,-147.614,,
FLT,,,62.4526,-157.989,,
FNR,PANR,,58.2544,-134.898,,
FRN,PAFR,,61.2664,-149.653,,
FWL,PAFW,,62.5093,-153.892,,
FYU,PFYU,,66.5715,-145.25,,
GAL,PAGA,,64.7362,-156.937,,
GAM,PAGM,,63.7668,-171.733,,
GBH,PAGB,,68.4797,-149.49,,
GDH,,,59.747,-158.875,,
GKN,PAGK,,62.1549,-145.457,,
GLV,PAGL,,64.5505,-163.007,,
GMT,PAGZ,,65.4021,-161.281,,
GNU,,,59.1174,-161.577,,
GST,PAGS,,58.4253,-135.707,,
HBH,,,57.4122,-133.438,,
HCR,PAHC,,62.1883,-159.775,,
HED,,,55.8014,-160.899,,
HGZ,,,66.2161,-155.669,,
HKB,,,63.9958,-144.693,,
HNH,PAOH,,58.0961,-135.41,,
HNS,PAHN,,59.2438,-135.524,,
HOM,PAHO,,59.6456,-151.477,,
HPB,PAHP,,61.5239,-166.147,,
HSL,PAHL,,65.6979,-156.351,,
HUS,PAHU,,66.0411,-154.263,,
HWI,,,58.1274,-134.756,,
HYG,PAHY,,55.2063,-132.828,,
HYL,,,55.4816,-132.646,,
IAN,PAIK,,66.976,-160.437,,
ICY,,,59.969,-141.662,,
IGG,PAIG,,59.324,-155.902,,
IKO,PAKO,,52.9416,-168.849,,
