Count,Attributes
2075,"('INFO', 'SER')"
2075,"('SER', 'BCST')"
1955,"('WI', 'AN')"
1955,"('AN', 'AREA')"
1950,"('DEFINED', 'AS')"
1947,"('AREA', 'DEFINED')"
1787,"('RADIUS', 'OF')"
1466,"('AGL)', 'U/S')"
1441,"('MAY', 'NOT')"
1438,"('NOT', 'BE')"
1428,"('ADS-B,', 'AUTO')"
1428,"('AUTO', 'DEPENDENT')"
1425,"('DEPENDENT', 'SURVEILLANCE')"
1424,"('BE', 'AVBL')"
1424,"('AVBL', 'WI')"
1393,"('OBST', 'TOWER')"
1393,"('SURVEILLANCE', 'REBROADCAST')"
1383,"('AIRSPACE', 'AFFECTED')"
1381,"('AP', 'AIRSPACE')"
1380,"('TOWER', 'LGT')"
1372,"('REBROADCAST', '(ADS-R),')"
1372,"('(ADS-R),', 'TFC')"
1372,"('TFC', 'INFO')"
1334,"('AFFECTED', 'MAY')"
1334,"('MAY', 'INCLUDE')"
1308,"('FLT', 'INFO')"
1308,"('BCST', '(FIS-B)')"
1307,"('AIRSPACE', 'ADS-B,')"
1291,"('BCST', '(TIS-B),')"
1271,"('FROM', 'DER,')"
1262,"('OF', 'CENTERLINE,')"
1252,"('(TIS-B),', 'FLT')"
1203,"('LGT', '(ASR')"
1172,"('FT', 'MSL.')"
1168,"('FT', 'FROM')"
1075,"('SER', 'MAY')"
998,"('(FIS-B)', 'SER')"
830,"('UP', 'TO')"
681,"('CENTERLINE,', 'UP')"
635,"('LEFT', 'OF')"
628,"('RIGHT', 'OF')"
621,"('ILS', 'RWY')"
594,"('FT', 'LEFT')"
593,"('INFO', 'SERVICE')"
593,"('SERVICE', 'BCST')"
575,"('FT', 'RIGHT')"
561,"('NAV', 'ILS')"
498,"('OBS', 'AT')"
445,"('PAPI', 'U/S')"
390,"('EXCEPT', 'FOR')"
388,"('EQUIPPED', 'WITH')"
386,"('TREES', 'BEGINNING')"
378,"('WITH', 'SUITABLE')"
378,"('SUITABLE', 'RNAV')"
378,"('RNAV', 'SYSTEM')"
378,"('SYSTEM', 'WITH')"
368,"('RNAV', '(GPS)')"
361,"('MSL.', 'TREES')"
357,"('WET', 'OBS')"
340,"('LGT', 'U/S')"
333,"('SERVICES', 'MAY')"
330,"('END', 'PART')"
323,"('AND', 'TWY')"
307,"('(GPS)', 'RWY')"
307,"('WITH', 'GPS.')"
304,"('(FIS-B)', 'SERVICES')"
298,"('FOR', 'ACFT')"
293,"('BTN', 'TWY')"
291,"('ACFT', 'EQUIPPED')"
283,"('TO', 'READ:')"
266,"('AD', 'AP')"
264,"('THE', 'DC')"
262,"('LGT', '(ASN')"
259,"('OBST', 'CRANE')"
242,"('CRANE', '(ASN')"
242,"('MSL.', 'TREE')"
240,"('NA', 'EXCEPT')"
237,"('AGL)', 'FLAGGED')"
234,"('NOT', 'LGTD')"
229,"('PCT', 'WET')"
224,"('IN', 'THE')"
224,"('FICON', '5/5/5')"
223,"('ALL', 'FICON')"
218,"('AGL)', 'NOT')"
212,"('100', 'PCT')"
202,"('UNUSABLE', 'BEYOND')"
197,"('5/5/5', '100')"
194,"('WIND', 'TURBINE')"
193,"('TEMPORARY', 'CRANE')"
192,"('ID', 'LGT')"
191,"('OBST', 'WIND')"
190,"('END', 'ID')"
189,"('ALL', 'OTHER')"
186,"('OR', 'LOC')"
184,"('RDO', 'ALTIMETER')"
184,"('RWY', 'END')"
183,"('FLAGGED', 'AND')"
182,"('OF', 'RWY')"
182,"('LOC', 'RWY')"
180,"('ZAB', 'AIRSPACE')"
180,"('AND', 'LGTD')"
179,"('NM', 'TO')"
178,"('NOT', 'AVBL')"
174,"('ZLA', 'AIRSPACE')"
174,"('THIS', 'NOTAM')"
173,"('OTHER', 'DATA')"
173,"('DATA', 'REMAINS')"
173,"('REMAINS', 'AS')"
173,"('ILS', 'OR')"
171,"('AS', 'PUBLISHED.')"
171,"('TWY', 'A')"
168,"('OF', 'THE')"
162,"('END', 'RWY')"
162,"('TURBINE', 'FARM')"
162,"('FARM', 'WI')"
161,"('APCH', 'END')"
152,"('POINT', 'OF')"
151,"('UAS', 'WI')"
148,"('AIRSPACE', 'UAS')"
144,"('TO', 'THE')"
142,"('TAKEOFF', 'MINIMUMS')"
142,"('ALL', 'CATS.')"
141,"('TO', 'POINT')"
141,"('OF', 'ORIGIN')"
140,"('CAT', 'C')"
132,"('ZLC', 'AIRSPACE')"
131,"('MINIMUMS', 'AND')"
131,"('GP', 'U/S')"
129,"('CIRCLING', 'CAT')"
128,"('PURSUANT', 'TO')"
127,"('14', 'CFR')"
126,"('(ASN', 'UNKNOWN)')"
123,"('PRIOR', 'TO')"
123,"('ALS', 'U/S')"
123,"('WASHINGTON,', 'DC.')"
121,"('ATL', 'RWY')"
120,"('TWY', 'C')"
120,"('TWY', 'ALL')"
118,"('MOA', 'ACT')"
118,"('APRON', 'ALL')"
115,"('AND', '(OBSTACLE)')"
115,"('(OBSTACLE)', 'DEPARTURE')"
115,"('DEPARTURE', 'PROCEDURES')"
115,"('MINIMA', 'TO')"
114,"('CLSD', 'CANCELED')"
113,"('TWY', 'B')"
113,"('NOT', 'AUTHORIZED')"
113,"('THE', 'FAA')"
113,"('DC', 'SFRA')"
112,"('NAV', 'VOR')"
110,"('NOT', 'STD')"
110,"('FICON', 'WET')"
108,"('ZOB', 'AIRSPACE')"
107,"('FOR', 'AIRCRAFT')"
107,"('BUT', 'NOT')"
105,"('OUT', 'OF')"
104,"('WITH', 'THE')"
103,"('CLSD', 'EXC')"
103,"('DO', 'NOT')"
103,"('SECURITY', 'INSTRUCTIONS,')"
102,"('BEYOND', '40')"
102,"('ZNY', 'AIRSPACE')"
101,"('TO', 'BUT')"
101,"('NOT', 'INCLUDING')"
100,"('THE', 'FOLLOWING')"
98,"('CLSD', 'TO')"
98,"('IN', 'THIS')"
98,"('COMPLY', 'WITH')"
97,"('STNR', 'ALT')"
97,"('DUE', 'TO')"
96,"('Z', 'RWY')"
96,"('ALT', 'RESERVATION')"
96,"('RESERVATION', 'WI')"
95,"('AIRSPACE', 'DCC')"
94,"('ALL', 'CATS')"
94,"('INCLUDING', 'FL180')"
94,"('A)', 'KBZN')"
94,"('KBZN', 'B)')"
94,"('E)', 'BZN')"
93,"('FICON', 'PATCHY')"
92,"('AUTHORIZED', 'EXC')"
92,"('EXC', 'FOR')"
92,"('FOR', 'RDO')"
92,"('ALTIMETER', 'TOLERANT')"
92,"('USING', 'APPROVED')"
92,"('APPROVED', 'ALTERNATIVE')"
92,"('ALTERNATIVE', 'METHODS')"
92,"('METHODS', 'OF')"
92,"('AUTOPILOT', 'MODES,')"
92,"('SFC-400FT', 'AGL')"
91,"('DEPARTURE', '(RNAV)...')"
90,"('(ASR', 'UNKNOWN)')"
90,"('MINIMUM', 'CLIMB')"
90,"('OF', 'SERVICE.')"
89,"('DFW', 'NAV')"
89,"('40', 'NM.')"
88,"('49', 'USC')"
87,"('TO', 'ACFT')"
87,"('WITHIN', 'THE')"
86,"('CLIMB', 'OF')"
86,"('PER', 'NM')"
86,"('MAY', 'BE')"
85,"('AIRCRAFT', 'EQUIPPED')"
84,"('RWY', '24')"
84,"('NM', 'FROM')"
84,"('RWY', '12')"
84,"('ZOA', 'AIRSPACE')"
83,"('RWY', '06')"
83,"('MSL.', 'TREES,')"
82,"('AGL', 'DLY')"
82,"('RWY', '18')"
82,"('TAKEOFF', 'OBSTACLE')"
82,"('AIRSPACE', 'LGT')"
82,"('LGT', 'OUT/NIGHT')"
82,"('OUT/NIGHT', 'VISION')"
82,"('VISION', 'GOGGLE')"
82,"('GOGGLE', 'TRAINING')"
82,"('ZDV', 'AIRSPACE')"
81,"('BCST', '(TIS-B)')"
81,"('PROCEDURES', 'AMDT')"
81,"('PART', '1')"
81,"('1', 'OF')"
80,"('DFW', 'RWY')"
80,"('RWY', '27')"
80,"('LNAV', 'MDA')"
80,"('WSINT', '24B')"
80,"('24B', 'ADVANCED')"
79,"('RVRM', 'U/S')"
79,"('DCC', 'WSINT')"
79,"('A)', 'KHLN')"
79,"('KHLN', 'B)')"
79,"('E)', 'HLN')"
78,"('CAT', 'II')"
78,"('ALL', 'CATS,')"
78,"('TO', 'COP')"
77,"('PART', '2')"
77,"('2', 'OF')"
77,"('VOR', 'U/S')"
77,"('DME', 'U/S')"
76,"('MORE', 'THAN')"
75,"('II', 'NA')"
75,"('TWY', 'D')"
74,"('AND', 'THE')"
73,"('NOTE', 'TO')"
73,"('NE', 'OF')"
73,"('DEPARTMENT', 'OF')"
72,"('ACFT', 'WINGSPAN')"
72,"('STANDARD', 'WITH')"
72,"('VIS', 'CAT')"
72,"('OF', 'IWA')"
72,"('IWA', 'AIRPORT')"
72,"('MUST', 'BE')"
72,"('MEA', 'GAP')"
72,"('GAP', 'AT')"
71,"('WINGSPAN', 'MORE')"
71,"('WITH', 'GPS,')"
71,"('VOR/DME,', 'NY')"
70,"('A', 'BTN')"
70,"('VORTAC,', 'NM')"
70,"('RWY', '36')"
70,"('NOTE:', 'RWY')"
70,"('INSTRUCTIONS,', 'WASHINGTON,')"
69,"('IS', 'THE')"
68,"('Y', 'RWY')"
68,"('OF', '4')"
68,"('RWY', '04')"
67,"('CHANGED', 'TO')"
66,"('CAT', 'D')"
66,"('CATS,', 'VIS')"
66,"('AS', '78NM')"
66,"('78NM', 'RADIUS')"
66,"('ZMP', 'AIRSPACE')"
65,"('AMDT', '1...')"
65,"('OF', '8')"
64,"('WITH', 'MINIMUM')"
64,"('RWY', '17')"
64,"('RWY', '28')"
64,"('THE', 'DEPARTMENT')"
64,"('NOT', 'MNT')"
64,"('TWY', 'G')"
64,"('AT', 'COP.')"
64,"('PA', 'TO')"
63,"('ZFW', 'AIRSPACE')"
63,"('SPECIAL', 'SECURITY')"
63,"('DC.', 'THIS')"
63,"('ZSE', 'AIRSPACE')"
62,"('RVRT', 'U/S')"
62,"('NAV', 'TACAN')"
62,"('OF', 'COMPLIANCE.')"
62,"('5G', 'C-BAND')"
62,"('TO', '14')"
62,"('CA', 'TO')"
62,"('UNUSABLE', 'BELOW')"
62,"('TWY', 'E')"
62,"('THE', 'WASHINGTON')"
61,"('TO', '1')"
61,"('FOR', 'RWY')"
61,"('BY', 'THE')"
61,"('LGTD,', 'NOT')"
61,"('NOT', 'PAINTED.')"
60,"('(TIS-B)', 'SER')"
60,"('SYSTEM', 'NOT')"
60,"('WHO', 'DO')"
60,"('COMPLIANCE', 'WITH')"
60,"('CLIMB', 'TO')"
60,"('RWY', '30')"
60,"('AMEND', 'PUBLICATIONS:')"
59,"('VISIBILITY', 'CAT')"
59,"('CAT', 'C/D')"
59,"('CAT', 'A/B')"
59,"('VISIBILITY', 'TO')"
59,"('1', 'RVR')"
59,"('RVR', '50')"
58,"('AMDT', '2...')"
58,"('RWY', '35')"
58,"('BTN', 'RWY')"
57,"('OR', 'STANDARD')"
57,"('RWY', '32')"
57,"('UNITED', 'STATES')"
57,"('CFR', 'SECTION')"
57,"('PUBLISHED.', 'END')"
56,"('SYSTEM', 'U/S')"
56,"('TO', 'READ')"
56,"('IN', 'COMPLIANCE')"
56,"('THIS', 'IS')"
56,"('LNAV/VNAV', 'DA')"
56,"('DC', 'FRZ')"
55,"('PROCEDURE', 'NA')"
55,"('ZTL', 'AIRSPACE')"
55,"('ALTIMETER', 'SETTING')"
55,"('MSL.', 'RWY')"
55,"('OF', '3')"
54,"('MINIMUMS:', 'RWY')"
54,"('NA', 'AT')"
54,"('PART', '3')"
54,"('3', 'OF')"
53,"('RWY', '31')"
53,"('RWY', '22')"
53,"('WITH', 'A')"
53,"('AIRSPACE', 'FLT')"
53,"('INSTEAD', 'OF')"
53,"('ZDC', 'AIRSPACE')"
53,"('BOS', 'RWY')"
52,"('AS', '40NM')"
52,"('40NM', 'RADIUS')"
52,"('NORTH', 'OF')"
52,"('OBSTACLE', 'NOTES:')"
52,"('VORTAC,', 'AZ')"
52,"('AZ', 'TO')"
52,"('TURN', 'TO')"
52,"('NEW', 'YORK')"
52,"('HLN', 'RWY')"
51,"('AS', '5NM')"
51,"('AND', 'CAT')"
51,"('LOC', 'U/S')"
51,"('NOT', 'ADHERE')"
51,"('ADHERE', 'TO')"
51,"('OF', 'AN')"
51,"('THE', 'UNITED')"
51,"('AND', 'RWY')"
51,"('OR', 'ABOVE')"
51,"('TRAVERSE', 'WAY')"
51,"('THE', 'DEPARTURE')"
51,"('PATCHY', 'WET')"
50,"('INT,', 'CA')"
50,"('SE', 'OF')"
50,"('AT', 'NIGHT.')"
50,"('RVRR', 'U/S')"
50,"('UAS', 'OPS')"
50,"('VORTAC,', 'CA')"
50,"('CA', 'MEA')"
50,"('ROC', 'RWY')"
49,"('5NM', 'RADIUS')"
49,"('WIP', 'CONST')"
49,"('AFFECTED', 'INCLUDES')"
49,"('HUD', 'TO')"
49,"('DHT,', 'DUX,')"
48,"('ADVANCED', 'RAPTOR')"
48,"('372200N1170000W', 'TO')"
48,"('TO', '371200N1172000W')"
48,"('371200N1172000W', 'TO')"
48,"('SVC', 'MBST/WS')"
48,"('MBST/WS', 'DETECTION')"
48,"('DETECTION', 'SYSTEM')"
48,"('AND', 'ACFT')"
48,"('AUTOMATED', 'WX')"
48,"('CA..ROUTE', 'ZLA.')"
48,"('POLE', 'BEGINNING')"
48,"('MSL.', 'ALL')"
48,"('MSL.', 'POLE')"
48,"('VOR/DME,', 'AZ')"
48,"('FLIGHT', 'RULES')"
48,"('THE', 'MOST')"
48,"('DEPARTURE', 'POINT')"
47,"('WORTH,', 'TX.')"
47,"('(GPS)', 'Y')"
47,"('ACFT', 'AND')"
47,"('FEDERAL', 'AVIATION')"
47,"('DME', 'REQUIRED')"
47,"('ALL', 'SFC')"
47,"('(400FT', 'AGL)')"
47,"('POLES', 'BEGINNING')"
47,"('AT', 'THE')"
46,"('RNAV', '(RNP)')"
46,"('AIRSPACE', 'RDO')"
46,"('ALTIMETER', 'UNREL')"
46,"('UNREL', 'WI')"
46,"('ARTCC', 'AIRSPACE')"
46,"('SFC-5000FT', 'AGL.')"
46,"('AGL.', 'AUTOLAND,')"
46,"('AUTOLAND,', 'HUD')"
46,"('TO', 'TOUCHDOWN,')"
46,"('TOUCHDOWN,', 'ENHANCED')"
46,"('ENHANCED', 'FLT')"
46,"('FLT', 'VISION')"
46,"('VISION', 'SYSTEMS')"
46,"('SYSTEMS', 'TO')"
46,"('TO', 'TOUCHDOWN')"
46,"('TOUCHDOWN', 'NOT')"
46,"('TOLERANT', 'ACFT')"
46,"('ACFT', 'USING')"
46,"('OPS', 'REQUIRING')"
46,"('REQUIRING', 'RDO')"
46,"('ALTIMETER', 'DATA')"
46,"('DATA', 'TO')"
46,"('TO', 'INCLUDE')"
46,"('INCLUDE', 'OFFSHORE')"
46,"('OFFSHORE', 'INSTRUMENT')"
46,"('INSTRUMENT', 'OPS,')"
46,"('OPS,', 'HOVER')"
46,"('HOVER', 'AUTOPILOT')"
46,"('MODES,', 'SAR')"
46,"('SAR', 'AUTOPILOT')"
46,"('MODES,', 'AND')"
46,"('CAT', 'A/B/PERFORMANCE')"
46,"('A/B/PERFORMANCE', 'CLASS')"
46,"('CLASS', 'TKOF')"
46,"('TKOF', 'AND')"
46,"('AND', 'LDG')"
46,"('LDG', 'NOT')"
46,"('TOLERANT', 'ROTORCRAFT')"
46,"('ROTORCRAFT', 'AND')"
46,"('AND', 'ROTORCRAFT')"
46,"('ROTORCRAFT', 'USING')"
46,"('COMPLIANCE.', 'DUE')"
46,"('TO', '5G')"
46,"('C-BAND', 'INTERFERENCE')"
46,"('INTERFERENCE', 'PLUS')"
46,"('PLUS', 'SEE')"
46,"('SEE', 'AIRWORTHINESS')"
46,"('2023-11-07', 'AND')"
46,"('DOMESTIC', 'NOTICES')"
46,"('OR', 'THE')"
46,"('ALL', 'ACFT')"
46,"('DUX,', 'HRX,')"
46,"('TWY', 'H')"
46,"('SFC', 'WIP')"
46,"('UT', 'TO')"
46,"('WHEN', 'LOCAL')"
46,"('NY', 'TO')"
46,"('(500)', '1')"
45,"('B', 'BTN')"
45,"('NOTES:', 'RWY')"
45,"('AP', 'ALL')"
45,"('SVC', 'AUTOMATED')"
45,"('WX', 'BCST')"
45,"('BCST', 'SYSTEM')"
45,"('OF', '2')"
45,"('BTN', 'APCH')"
45,"('RWY', '33')"
45,"('DC', 'SFRA,')"
45,"('EXTENDED', 'RCL.')"
44,"('ZME', 'AIRSPACE')"
44,"('C/D', '1')"
44,"('TWY', 'K')"
44,"('A/B', 'MDA')"
44,"('TWY', 'N')"
44,"('OF', '354412N1023038W.')"
44,"('354412N1023038W.', 'AP')"
44,"('GOVERNMENT', 'MAY')"
44,"('IT', 'IS')"
44,"('RWY', '09')"
44,"('TWY', 'J')"
44,"('RAMP', 'CLSD')"
44,"('FT', 'PER')"
44,"('RWY', '05')"
44,"('AS', '2NM')"
44,"('2NM', 'RADIUS')"
44,"('RWY', '21')"
44,"('OF', '390500N0801546W.')"
44,"('390500N0801546W.', 'AP')"
44,"('MOST', 'DIRECT')"
44,"('MA..AIRSPACE', 'NANTUCKET,')"
44,"('RADIUS', 'CENTRED')"
44,"('CENTRED', 'ON')"
44,"('BFR', 'THR')"
43,"('RWY', '26')"
43,"('HELICOPTER', 'VISIBILITY')"
43,"('ON', 'THE')"
43,"('OPERATIONS', 'IN')"
43,"('RWY', '14')"
43,"('SN', 'OBS')"
43,"('BZN', 'RWY')"
42,"('C', 'AND')"
42,"('APRON', 'TERMINAL')"
42,"('TO', '49')"
42,"('RWY', '10')"
42,"('FUEL', 'NOT')"
42,"('AS', '3NM')"
